,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Marsa Matruh,EG,86.2,clear sky,31.35,27.25,Beau Site
519,Dingle,PH,78.31,overcast clouds,11.0,122.67,SEGAYA PROPERTY
527,Monte Alegre,BR,84.97,overcast clouds,-2.01,-54.07,Hotel Shekinah
530,Tamandare,BR,78.08,overcast clouds,-8.76,-35.1,Pousada 100 Passos
532,Alexandria,EG,87.76,clear sky,31.22,29.96,Furnish Apartment in Alexandria
536,Korla,CN,76.95,clear sky,41.76,86.15,Gulisitan Hotel
542,Dunmore Town,BS,78.82,few clouds,25.5,-76.65,Coral Sands Hotel
549,Payson,US,77.99,scattered clouds,40.04,-111.73,Quality Inn Payson I-15
550,Mana,GF,80.33,light rain,5.66,-53.78,LE SAMANA
552,Mata,PT,75.25,scattered clouds,40.68,-7.46,Hostel EntryFik
556,Natal,BR,86.65,few clouds,-5.79,-35.21,Hotel Natal
557,Saint-Georges,GD,83.88,broken clouds,12.06,-61.75,Radisson Grenada Beach Resort
560,Sri Aman,MY,75.25,scattered clouds,1.24,111.46,Seri Simanggang Hotel
563,Salinopolis,BR,82.51,scattered clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
566,Gat,IL,79.39,clear sky,31.61,34.76,OlusHome
568,Lahij,YE,90.21,clear sky,13.17,44.58,
578,Coripata,BO,86.81,overcast clouds,-16.3,-67.6,Hotel Coripata
580,Niquero,CU,86.58,few clouds,20.04,-77.58,Islazul Niquero
583,Coacoyul,MX,90.59,broken clouds,17.81,-99.11,Casa Abuelita Natalia
587,Fare,PF,79.81,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
589,Shahrud,IR,82.08,clear sky,36.42,54.98,Royal Hotel
592,Moa,CU,82.53,scattered clouds,20.66,-74.94,Carmen
596,Niteroi,BR,78.42,overcast clouds,-22.88,-43.1,"FLAT RIO DE JANEIRO, NITEROI"
598,Maumere,ID,77.13,overcast clouds,-8.62,122.21,Sylvia Hotel
599,Tharad,IN,87.35,overcast clouds,24.4,71.63,Shree Nandan Couriyar Service
600,Carora,VE,93.87,scattered clouds,10.18,-70.08,Hotel Irpinia
603,Cabinda,AO,77.81,scattered clouds,-5.55,12.2,Hotel Maiombe
607,Veraval,IN,82.8,broken clouds,20.9,70.37,Lords Inn Somnath
612,Cam Ranh,VN,82.36,clear sky,11.92,109.16,OYO 598 Peony Hotel
613,Kieta,PG,77.76,light rain,-6.22,155.63,Uruna Bay Retreat
616,Palizada,MX,89.58,few clouds,18.25,-92.08,Hotel San Joaquín
618,Kailua,US,80.08,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
621,Sarh,TD,93.11,few clouds,9.14,18.39,Domicile 1sur le goudron
622,Palauig,PH,82.69,scattered clouds,15.44,119.9,Myhousebythesea
627,Labelle,US,93.27,broken clouds,26.76,-81.44,La Belle Motel
630,Acapulco,MX,89.6,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
635,Daru,PG,78.1,overcast clouds,-9.08,143.21,Daru Lodge
636,Barinas,VE,85.69,few clouds,8.62,-70.21,Hotel Mastranto Suite
638,Jackson,US,79.92,clear sky,42.42,-122.83,Agate Village Apartments
642,Ugoofaaru,MV,83.52,overcast clouds,5.67,73.0,Ungoofaaru Inn
646,Agua Dulce,MX,90.79,overcast clouds,18.13,-94.13,Hotel Victoria
652,La Asuncion,VE,85.73,overcast clouds,11.03,-63.86,Colinas de Matasiete
654,Dong Xoai,VN,77.97,few clouds,11.53,106.92,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
661,Altagracia De Orituco,VE,83.89,overcast clouds,9.86,-66.38,Posada Quinta Mi Refugio
663,Mapastepec,MX,89.17,scattered clouds,15.43,-92.9,Hotel San Carlos
664,Tucuma,BR,83.75,clear sky,-0.18,-50.05,
667,Amapa,BR,80.22,broken clouds,1.0,-52.0,
668,Umm Lajj,SA,86.36,clear sky,25.02,37.27,Moon light Furnished Units
669,Russell,US,78.91,broken clouds,32.35,-85.2,Macs
671,Labuan,MY,79.16,few clouds,5.28,115.24,Tiara Labuan Hotel
672,Champerico,GT,91.94,few clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
677,Satipo,PE,87.15,overcast clouds,-11.25,-74.64,Hotel Mayros
679,Buala,SB,78.8,light rain,-8.14,159.59,Maringe Lagoon Lodge
681,San Policarpo,PH,77.97,overcast clouds,12.18,125.51,JM Lodge
